zi_baseinstrument_dev30577_sigouts0_amplitudes1_value,count,Theta,X
0.001,206.206206206206,-5.03940608787564,7.39950830114358e-06
0.001,207.207207207207,-6.64462099278686,6.8895291374988e-06
0.001,208.208208208208,0.385959133893644,7.15171674286729e-06
0.001,209.209209209209,4.88768310132387,7.46354975596419e-06
0.001,210.21021021021,-6.49442091277975,6.80517791205871e-06
0.001,211.211211211211,-0.407833280793955,7.37610946831495e-06
0.001,212.212212212212,2.19266214885882,7.59527719285838e-06
0.001,213.213213213213,4.9729706006237,7.12411298445118e-06
0.001,214.214214214214,-4.38639137923756,7.12140642846219e-06
0.001,215.215215215215,2.90816668636215,6.98012755342735e-06
0.001,216.216216216216,2.44174425544143,7.77136624819559e-06
0.001,217.217217217217,-1.4620233056365,6.86028893607354e-06
0.001,218.218218218218,-1.84789902545313,6.84758506642976e-06
0.001,219.219219219219,-0.707388264270224,7.37868035880899e-06
0.001,220.22022022022,-1.32617414027233,7.5090129077506e-06
0.001,221.221221221221,0.292411233046975,7.01248917709973e-06
0.001,222.222222222222,-1.92850730350825,7.154469519092e-06
0.001,223.223223223223,2.63331636289697,7.77814969913181e-06
0.001,224.224224224224,0.272379047249193,7.4068765232197e-06
0.001,225.225225225225,-8.20188167104209,6.96354723313688e-06
0.001,226.226226226226,-4.94765235982208,6.18907027455255e-06
0.001,227.227227227227,-4.05798384955283,7.42825159098758e-06
0.001,228.228228228228,0.0129105467385616,7.59452932947628e-06
0.001,229.229229229229,-5.69500842988264,7.2838155860775e-06
0.001,230.23023023023,-3.35056825778594,7.21755444407877e-06
0.001,231.231231231231,-4.56130747269338,7.59441010828376e-06
0.001,232.232232232232,4.65328732532544,7.45709859739611e-06
0.001,233.233233233233,4.22929642020105,7.53339334797426e-06
0.001,234.234234234234,-2.54246197987858,6.73162272353369e-06
0.001,235.235235235235,-4.13032945535932,6.58986960656305e-06
0.001,236.236236236236,7.25119615883163,7.69940856492079e-06
0.001,237.237237237237,0.180138756318491,7.68995332594927e-06
0.001,238.238238238238,-1.48611200446337,7.0504374001406e-06
0.001,239.239239239239,-0.851557256299049,7.27598616004822e-06
0.001,240.24024024024,-2.21137438032738,7.54445801431525e-06
0.001,241.241241241241,3.82605786603786,8.06451559726352e-06
0.001,242.242242242242,-4.36660280442579,7.19783725564284e-06
0.001,243.243243243243,-1.34253036745923,7.2339069520511e-06
0.001,244.244244244244,-3.55761974312823,6.69844370057184e-06
0.001,245.245245245245,0.183228762067516,7.44507193936369e-06
0.001,246.246246246246,6.96552189488354,8.06993041240138e-06
